Zip Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
90001,Los Angeles,California,CA,Los Angeles,33.9731,-118.2479
90002,Los Angeles,California,CA,Los Angeles,33.9497,-118.2462
90003,Los Angeles,California,CA,Los Angeles,33.9653,-118.2727
90004,Los Angeles,California,CA,Los Angeles,34.0762,-118.3029
90005,Los Angeles,California,CA,Los Angeles,34.0585,-118.3012
90006,Los Angeles,California,CA,Los Angeles,34.0493,-118.2917
90007,Los Angeles,California,CA,Los Angeles,34.0294,-118.2871
90008,Los Angeles,California,CA,Los Angeles,34.0116,-118.3411
90009,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90010,Los Angeles,California,CA,Los Angeles,34.0606,-118.3027
90011,Los Angeles,California,CA,Los Angeles,34.0079,-118.2582
90012,Los Angeles,California,CA,Los Angeles,34.0614,-118.2385
90013,Los Angeles,California,CA,Los Angeles,34.0448,-118.2434
90014,Los Angeles,California,CA,Los Angeles,34.0443,-118.2509
90015,Los Angeles,California,CA,Los Angeles,34.0434,-118.2716
90016,Los Angeles,California,CA,Los Angeles,34.0298,-118.3528
90017,Los Angeles,California,CA,Los Angeles,34.0559,-118.2666
90018,Los Angeles,California,CA,Los Angeles,34.029,-118.3152
90019,Los Angeles,California,CA,Los Angeles,34.0482,-118.3343
90020,Los Angeles,California,CA,Los Angeles,34.0665,-118.3022
90021,Los Angeles,California,CA,Los Angeles,34.0333,-118.2447
90022,Los Angeles,California,CA,Los Angeles,34.0245,-118.1561
90023,Los Angeles,California,CA,Los Angeles,34.0245,-118.1975
90024,Los Angeles,California,CA,Los Angeles,34.0637,-118.4408
90025,Los Angeles,California,CA,Los Angeles,34.0447,-118.4487
90026,Los Angeles,California,CA,Los Angeles,34.0766,-118.2646
90027,Los Angeles,California,CA,Los Angeles,34.104,-118.2925
90028,Los Angeles,California,CA,Los Angeles,34.1005,-118.3254
90029,Los Angeles,California,CA,Los Angeles,34.09,-118.2944
90030,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90031,Los Angeles,California,CA,Los Angeles,34.0783,-118.2113
90032,Los Angeles,California,CA,Los Angeles,34.0818,-118.1753
90033,Los Angeles,California,CA,Los Angeles,34.0487,-118.2084
90034,Los Angeles,California,CA,Los Angeles,34.029,-118.4005
90035,Los Angeles,California,CA,Los Angeles,34.0531,-118.3806
90036,Los Angeles,California,CA,Los Angeles,34.0699,-118.3492
90037,Los Angeles,California,CA,Los Angeles,34.003,-118.2863
90038,Los Angeles,California,CA,Los Angeles,34.0898,-118.3215
90039,Los Angeles,California,CA,Los Angeles,34.1121,-118.2594
90040,Los Angeles,California,CA,Los Angeles,33.9909,-118.1532
90041,Los Angeles,California,CA,Los Angeles,34.1339,-118.2082
90042,Los Angeles,California,CA,Los Angeles,34.1145,-118.1929
90043,Los Angeles,California,CA,Los Angeles,33.9871,-118.3321
90044,Los Angeles,California,CA,Los Angeles,33.9551,-118.2901
90045,Los Angeles,California,CA,Los Angeles,33.9631,-118.3941
90046,Los Angeles,California,CA,Los Angeles,34.1074,-118.3652
90047,Los Angeles,California,CA,Los Angeles,33.9569,-118.3073
90048,Los Angeles,California,CA,Los Angeles,34.0737,-118.372
90049,Los Angeles,California,CA,Los Angeles,34.066,-118.474
90050,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90051,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90052,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90053,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90054,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90055,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90056,Los Angeles,California,CA,Los Angeles,33.9853,-118.3707
90057,Los Angeles,California,CA,Los Angeles,34.0622,-118.2763
90058,Los Angeles,California,CA,Los Angeles,33.9994,-118.2133
90059,Los Angeles,California,CA,Los Angeles,33.9293,-118.2463
90060,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90061,Los Angeles,California,CA,Los Angeles,33.9245,-118.2716
90062,Los Angeles,California,CA,Los Angeles,34.0032,-118.3073
90063,Los Angeles,California,CA,Los Angeles,34.0451,-118.1859
90064,Los Angeles,California,CA,Los Angeles,34.0353,-118.4259
90065,Los Angeles,California,CA,Los Angeles,34.1073,-118.2266
90066,Los Angeles,California,CA,Los Angeles,34.003,-118.4298
90067,Los Angeles,California,CA,Los Angeles,34.0551,-118.4095
90068,Los Angeles,California,CA,Los Angeles,34.1156,-118.3305
90069,West Hollywood,California,CA,Los Angeles,34.0906,-118.3788
90070,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90071,Los Angeles,California,CA,Los Angeles,34.0529,-118.2549
90072,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90073,Los Angeles,California,CA,Los Angeles,33.7866,-118.2987
90074,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90075,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90076,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90077,Los Angeles,California,CA,Los Angeles,34.1112,-118.4502
90078,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90079,Los Angeles,California,CA,Los Angeles,33.7866,-118.2987
90080,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90081,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90082,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90083,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90084,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90086,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90087,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90088,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90089,Los Angeles,California,CA,Los Angeles,33.7866,-118.2987
90090,Dodgertown,California,CA,Los Angeles,34.0725,-118.2418
90091,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90093,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90094,Playa Vista,California,CA,Los Angeles,33.9728,-118.4276
90095,Los Angeles,California,CA,Los Angeles,33.7866,-118.2987
90096,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90099,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90189,Los Angeles,California,CA,Los Angeles,34.0515,-118.2559
90201,Bell Gardens,California,CA,Los Angeles,33.9653,-118.1515
90202,Bell,California,CA,Los Angeles,33.9775,-118.187
90209,Beverly Hills,California,CA,Los Angeles,34.0736,-118.4004
90210,Beverly Hills,California,CA,Los Angeles,34.0901,-118.4065
90211,Beverly Hills,California,CA,Los Angeles,34.0652,-118.383
90212,Beverly Hills,California,CA,Los Angeles,34.0619,-118.3995
90213,Beverly Hills,California,CA,Los Angeles,34.0736,-118.4004
90220,Compton,California,CA,Los Angeles,33.8748,-118.2402
90221,Compton,California,CA,Los Angeles,33.8796,-118.2168
90222,Compton,California,CA,Los Angeles,33.9099,-118.2357
90223,Compton,California,CA,Los Angeles,33.8958,-118.2201
90224,Compton,California,CA,Los Angeles,33.7866,-118.2987
90230,Culver City,California,CA,Los Angeles,33.9949,-118.3991
90231,Culver City,California,CA,Los Angeles,34.0211,-118.3965
90232,Culver City,California,CA,Los Angeles,34.0168,-118.3973
90233,Culver City,California,CA,Los Angeles,34.0211,-118.3965
90239,Downey,California,CA,Los Angeles,33.94,-118.1326
90240,Downey,California,CA,Los Angeles,33.9581,-118.1174
90241,Downey,California,CA,Los Angeles,33.9416,-118.1306
90242,Downey,California,CA,Los Angeles,33.9218,-118.1395
90245,El Segundo,California,CA,Los Angeles,33.9243,-118.4119
90247,Gardena,California,CA,Los Angeles,33.8925,-118.2961
90248,Gardena,California,CA,Los Angeles,33.8766,-118.2835
90249,Gardena,California,CA,Los Angeles,33.8998,-118.3199
90250,Hawthorne,California,CA,Los Angeles,33.9143,-118.3493
90251,Hawthorne,California,CA,Los Angeles,33.9164,-118.3526
90254,Hermosa Beach,California,CA,Los Angeles,33.8643,-118.3955
90255,Huntington Park,California,CA,Los Angeles,33.9769,-118.2161
90260,Lawndale,California,CA,Los Angeles,33.8879,-118.351
90261,Lawndale,California,CA,Los Angeles,33.8872,-118.3526
90262,Lynwood,California,CA,Los Angeles,33.9241,-118.2013
90263,Malibu,California,CA,Los Angeles,34.005,-118.8101
90264,Malibu,California,CA,Los Angeles,34.005,-118.8101
90265,Malibu,California,CA,Los Angeles,34.0402,-118.7351
90266,Manhattan Beach,California,CA,Los Angeles,33.8896,-118.3996
90267,Manhattan Beach,California,CA,Los Angeles,33.7866,-118.2987
90270,Maywood,California,CA,Los Angeles,33.989,-118.1877
90272,Pacific Palisades,California,CA,Los Angeles,34.0481,-118.5265
90274,Palos Verdes Peninsula,California,CA,Los Angeles,33.7866,-118.2987
90275,Rancho Palos Verdes,California,CA,Los Angeles,33.7515,-118.367
90277,Redondo Beach,California,CA,Los Angeles,33.8307,-118.3832
90278,Redondo Beach,California,CA,Los Angeles,33.8707,-118.3715
90280,South Gate,California,CA,Los Angeles,33.9462,-118.2013
90290,Topanga,California,CA,Los Angeles,34.1076,-118.6023
90291,Venice,California,CA,Los Angeles,33.9938,-118.4635
90292,Marina Del Rey,California,CA,Los Angeles,33.9779,-118.4525
90293,Playa Del Rey,California,CA,Los Angeles,33.9577,-118.4373
90294,Venice,California,CA,Los Angeles,33.9908,-118.4601
90295,Marina Del Rey,California,CA,Los Angeles,33.7866,-118.2987
90296,Playa Del Rey,California,CA,Los Angeles,33.7866,-118.2987
90301,Inglewood,California,CA,Los Angeles,33.955,-118.3556
90302,Inglewood,California,CA,Los Angeles,33.9745,-118.3548
90303,Inglewood,California,CA,Los Angeles,33.9377,-118.3321
90304,Inglewood,California,CA,Los Angeles,33.9379,-118.3586
90305,Inglewood,California,CA,Los Angeles,33.9583,-118.3259
90306,Inglewood,California,CA,Los Angeles,33.9617,-118.3531
90307,Inglewood,California,CA,Los Angeles,33.7866,-118.2987
90308,Inglewood,California,CA,Los Angeles,33.9617,-118.3531
90309,Inglewood,California,CA,Los Angeles,33.7866,-118.2987
90310,Inglewood,California,CA,Los Angeles,33.7866,-118.2987
90311,Inglewood,California,CA,Los Angeles,33.9617,-118.3531
90312,Inglewood,California,CA,Los Angeles,33.9617,-118.3531
90401,Santa Monica,California,CA,Los Angeles,34.0176,-118.4907
90402,Santa Monica,California,CA,Los Angeles,34.0349,-118.503
90403,Santa Monica,California,CA,Los Angeles,34.0287,-118.4924
90404,Santa Monica,California,CA,Los Angeles,34.0268,-118.4733
90405,Santa Monica,California,CA,Los Angeles,34.01,-118.4717
90406,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90407,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90408,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90409,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90410,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90411,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90501,Torrance,California,CA,Los Angeles,33.8268,-118.3118
90502,Torrance,California,CA,Los Angeles,33.8286,-118.292
90503,Torrance,California,CA,Los Angeles,33.8397,-118.3542
90504,Torrance,California,CA,Los Angeles,33.8708,-118.3295
90505,Torrance,California,CA,Los Angeles,33.8106,-118.3507
90506,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90507,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90508,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90509,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90510,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90601,Whittier,California,CA,Los Angeles,34.0011,-118.0371
90602,Whittier,California,CA,Los Angeles,33.9693,-118.0337
90603,Whittier,California,CA,Los Angeles,33.9432,-117.9927
90604,Whittier,California,CA,Los Angeles,33.9299,-118.0121
90605,Whittier,California,CA,Los Angeles,33.9413,-118.0356
90606,Whittier,California,CA,Los Angeles,33.9777,-118.0658
90607,Whittier,California,CA,Los Angeles,33.9792,-118.0328
90608,Whittier,California,CA,Los Angeles,33.9792,-118.0328
90609,Whittier,California,CA,Los Angeles,33.9792,-118.0328
90610,Whittier,California,CA,Los Angeles,33.9792,-118.0328
90620,Buena Park,California,CA,Orange,33.8439,-118.008
90621,Buena Park,California,CA,Orange,33.8772,-117.9893
90622,Buena Park,California,CA,Orange,33.8462,-118.0031
90623,La Palma,California,CA,Orange,33.8491,-118.0398
90624,Buena Park,California,CA,Orange,33.8584,-118.0033
90630,Cypress,California,CA,Orange,33.8181,-118.0357
90631,La Habra,California,CA,Orange,33.9331,-117.9493
90632,La Habra,California,CA,Orange,33.9143,-117.9547
90633,La Habra,California,CA,Orange,33.9345,-117.9452
90637,La Mirada,California,CA,Los Angeles,33.9172,-118.012
90638,La Mirada,California,CA,Los Angeles,33.9067,-118.0101
90639,La Mirada,California,CA,Los Angeles,33.9058,-118.0182
90640,Montebello,California,CA,Los Angeles,34.0133,-118.113
90650,Norwalk,California,CA,Los Angeles,33.9056,-118.0818
90651,Norwalk,California,CA,Los Angeles,33.9022,-118.0817
90652,Norwalk,California,CA,Los Angeles,33.9022,-118.0817
90660,Pico Rivera,California,CA,Los Angeles,33.9886,-118.0883
90661,Pico Rivera,California,CA,Los Angeles,33.9831,-118.0967
90662,Pico Rivera,California,CA,Los Angeles,33.9831,-118.0967
90670,Santa Fe Springs,California,CA,Los Angeles,33.9464,-118.0838
90671,Santa Fe Springs,California,CA,Los Angeles,33.9472,-118.0853
90680,Stanton,California,CA,Orange,33.7991,-117.9956
90701,Artesia,California,CA,Los Angeles,33.8654,-118.0731
90702,Artesia,California,CA,Los Angeles,33.8658,-118.0831
90703,Cerritos,California,CA,Los Angeles,33.8669,-118.0686
90704,Avalon,California,CA,Los Angeles,33.332,-118.3437
90706,Bellflower,California,CA,Los Angeles,33.8867,-118.1265
90707,Bellflower,California,CA,Los Angeles,33.8817,-118.117
90710,Harbor City,California,CA,Los Angeles,33.797,-118.2991
90711,Lakewood,California,CA,Los Angeles,33.7866,-118.2987
90712,Lakewood,California,CA,Los Angeles,33.8512,-118.1457
90713,Lakewood,California,CA,Los Angeles,33.8473,-118.1115
90714,Lakewood,California,CA,Los Angeles,33.8512,-118.1339
90715,Lakewood,California,CA,Los Angeles,33.8405,-118.0767
90716,Hawaiian Gardens,California,CA,Los Angeles,33.8296,-118.073
90717,Lomita,California,CA,Los Angeles,33.7938,-118.3172
90720,Los Alamitos,California,CA,Orange,33.7956,-118.0648
90721,Los Alamitos,California,CA,Orange,33.8023,-118.069
90723,Paramount,California,CA,Los Angeles,33.8969,-118.1632
90731,San Pedro,California,CA,Los Angeles,33.7339,-118.2914
90732,San Pedro,California,CA,Los Angeles,33.742,-118.3121
90733,San Pedro,California,CA,Los Angeles,33.7866,-118.2987
90734,San Pedro,California,CA,Los Angeles,33.7866,-118.2987
90740,Seal Beach,California,CA,Orange,33.7602,-118.0808
90742,Sunset Beach,California,CA,Orange,33.7164,-118.069
90743,Surfside,California,CA,Orange,33.7264,-118.0833
90744,Wilmington,California,CA,Los Angeles,33.7855,-118.2645
90745,Carson,California,CA,Los Angeles,33.823,-118.2684
90746,Carson,California,CA,Los Angeles,33.8584,-118.2554
90747,Carson,California,CA,Los Angeles,33.8671,-118.2538
90748,Wilmington,California,CA,Los Angeles,33.78,-118.2626
90749,Carson,California,CA,Los Angeles,33.7866,-118.2987
90755,Signal Hill,California,CA,Los Angeles,33.8029,-118.1677
90801,Long Beach,California,CA,Los Angeles,33.767,-118.1892
90802,Long Beach,California,CA,Los Angeles,33.7706,-118.182
90803,Long Beach,California,CA,Los Angeles,33.7619,-118.1341
90804,Long Beach,California,CA,Los Angeles,33.7857,-118.1357
90805,Long Beach,California,CA,Los Angeles,33.8635,-118.1801
90806,Long Beach,California,CA,Los Angeles,33.8045,-118.1876
90807,Long Beach,California,CA,Los Angeles,33.8315,-118.1811
90808,Long Beach,California,CA,Los Angeles,33.8241,-118.1103
90809,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90810,Long Beach,California,CA,Los Angeles,33.8193,-118.2325
90813,Long Beach,California,CA,Los Angeles,33.782,-118.1835
90814,Long Beach,California,CA,Los Angeles,33.7716,-118.148
90815,Long Beach,California,CA,Los Angeles,33.7939,-118.1192
90822,Long Beach,California,CA,Los Angeles,33.7927,-118.1638
90831,Long Beach,California,CA,Los Angeles,33.7678,-118.1994
90832,Long Beach,California,CA,Los Angeles,33.767,-118.1892
90833,Long Beach,California,CA,Los Angeles,33.7678,-118.1994
90834,Long Beach,California,CA,Los Angeles,33.7678,-118.1994
90835,Long Beach,California,CA,Los Angeles,33.7678,-118.1994
90840,Long Beach,California,CA,Los Angeles,33.7843,-118.1157
90842,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90844,Long Beach,California,CA,Los Angeles,33.767,-118.1892
90846,Long Beach,California,CA,Los Angeles,33.8249,-118.1504
90847,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90848,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90853,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90895,Carson,California,CA,Los Angeles,33.8392,-118.2202
90899,Long Beach,California,CA,Los Angeles,33.767,-118.1892
91001,Altadena,California,CA,Los Angeles,34.1912,-118.1392
91003,Altadena,California,CA,Los Angeles,34.1897,-118.1312
91006,Arcadia,California,CA,Los Angeles,34.1324,-118.0264
91007,Arcadia,California,CA,Los Angeles,34.1243,-118.0515
91008,Duarte,California,CA,Los Angeles,34.149,-117.9644
91009,Duarte,California,CA,Los Angeles,34.1395,-117.9773
91010,Duarte,California,CA,Los Angeles,34.1407,-117.9567
91011,La Canada Flintridge,California,CA,Los Angeles,34.2217,-118.2051
91012,La Canada Flintridge,California,CA,Los Angeles,34.1992,-118.1879
91016,Monrovia,California,CA,Los Angeles,34.144,-118.0014
91017,Monrovia,California,CA,Los Angeles,34.1481,-117.999
91020,Montrose,California,CA,Los Angeles,34.2114,-118.2305
91021,Montrose,California,CA,Los Angeles,34.2064,-118.2242
91023,Mount Wilson,California,CA,Los Angeles,34.2264,-118.0662
91024,Sierra Madre,California,CA,Los Angeles,34.1651,-118.0519
91025,Sierra Madre,California,CA,Los Angeles,34.1617,-118.0528
91030,South Pasadena,California,CA,Los Angeles,34.1109,-118.1547
91031,South Pasadena,California,CA,Los Angeles,34.1161,-118.1503
91040,Sunland,California,CA,Los Angeles,34.2618,-118.3371
91041,Sunland,California,CA,Los Angeles,34.2669,-118.3023
91042,Tujunga,California,CA,Los Angeles,34.2544,-118.2849
91043,Tujunga,California,CA,Los Angeles,34.2522,-118.2884
91046,Verdugo City,California,CA,Los Angeles,34.2114,-118.2395
91066,Arcadia,California,CA,Los Angeles,34.1397,-118.0353
91077,Arcadia,California,CA,Los Angeles,34.1397,-118.0353
91101,Pasadena,California,CA,Los Angeles,34.1468,-118.1391
91102,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91103,Pasadena,California,CA,Los Angeles,34.1669,-118.1551
91104,Pasadena,California,CA,Los Angeles,34.1678,-118.1261
91105,Pasadena,California,CA,Los Angeles,34.1355,-118.1636
91106,Pasadena,California,CA,Los Angeles,34.1435,-118.1266
91107,Pasadena,California,CA,Los Angeles,34.151,-118.0889
91108,San Marino,California,CA,Los Angeles,34.1207,-118.1117
91109,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91110,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91114,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91115,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91116,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91117,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91118,San Marino,California,CA,Los Angeles,34.1214,-118.1065
91121,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91123,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91124,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91125,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91126,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91129,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91182,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91184,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91185,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91188,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91189,Pasadena,California,CA,Los Angeles,34.1478,-118.1445
91199,Pasadena,California,CA,Los Angeles,34.1478,-118.1436
91201,Glendale,California,CA,Los Angeles,34.1716,-118.2899
91202,Glendale,California,CA,Los Angeles,34.1652,-118.2656
91203,Glendale,California,CA,Los Angeles,34.1517,-118.2636
91204,Glendale,California,CA,Los Angeles,34.1379,-118.2599
91205,Glendale,California,CA,Los Angeles,34.1378,-118.2425
91206,Glendale,California,CA,Los Angeles,34.1556,-118.2322
91207,Glendale,California,CA,Los Angeles,34.1649,-118.2451
91208,Glendale,California,CA,Los Angeles,34.1921,-118.235
91209,Glendale,California,CA,Los Angeles,34.1425,-118.2551
91210,Glendale,California,CA,Los Angeles,34.1425,-118.2551
91214,La Crescenta,California,CA,Los Angeles,34.2316,-118.2457
91221,Glendale,California,CA,Los Angeles,34.1425,-118.2551
91222,Glendale,California,CA,Los Angeles,34.1425,-118.2551
91224,La Crescenta,California,CA,Los Angeles,34.2242,-118.2401
91225,Glendale,California,CA,Los Angeles,34.1425,-118.2551
91226,Glendale,California,CA,Los Angeles,34.1425,-118.2551
91301,Agoura Hills,California,CA,Los Angeles,34.1227,-118.7573
91302,Calabasas,California,CA,Los Angeles,34.1419,-118.6641
91303,Canoga Park,California,CA,Los Angeles,34.1993,-118.5983
91304,Canoga Park,California,CA,Los Angeles,34.2197,-118.6111
91305,Canoga Park,California,CA,Los Angeles,34.2011,-118.5981
91306,Winnetka,California,CA,Los Angeles,34.2092,-118.5749
91307,West Hills,California,CA,Los Angeles,34.1963,-118.6389
91308,West Hills,California,CA,Los Angeles,34.1973,-118.644
91309,Canoga Park,California,CA,Los Angeles,34.2011,-118.5981
91310,Castaic,California,CA,Los Angeles,34.4889,-118.6229
91311,Chatsworth,California,CA,Los Angeles,34.2583,-118.5914
91313,Chatsworth,California,CA,Los Angeles,34.2572,-118.6012
91316,Encino,California,CA,Los Angeles,34.1655,-118.5175
91319,Newbury Park,California,CA,Ventura,34.1842,-118.9107
91320,Newbury Park,California,CA,Ventura,34.1774,-118.9358
91321,Newhall,California,CA,Los Angeles,34.3795,-118.523
91322,Newhall,California,CA,Los Angeles,34.3847,-118.5309
91324,Northridge,California,CA,Los Angeles,34.2367,-118.5466
91325,Northridge,California,CA,Los Angeles,34.2353,-118.5188
91326,Porter Ranch,California,CA,Los Angeles,34.2619,-118.582
91327,Northridge,California,CA,Los Angeles,34.2283,-118.5368
91328,Northridge,California,CA,Los Angeles,34.2283,-118.5368
91329,Northridge,California,CA,Los Angeles,34.2283,-118.5368
91330,Northridge,California,CA,Los Angeles,34.2283,-118.5368
91331,Pacoima,California,CA,Los Angeles,34.2556,-118.4208
91333,Pacoima,California,CA,Los Angeles,34.2625,-118.427
91334,Pacoima,California,CA,Los Angeles,34.2625,-118.427
91335,Reseda,California,CA,Los Angeles,34.2007,-118.5391
91337,Reseda,California,CA,Los Angeles,34.2011,-118.5365
91340,San Fernando,California,CA,Los Angeles,34.2875,-118.4352
91341,San Fernando,California,CA,Los Angeles,34.2819,-118.439
91342,Sylmar,California,CA,Los Angeles,34.3054,-118.4322
91343,North Hills,California,CA,Los Angeles,34.2366,-118.4758
91344,Granada Hills,California,CA,Los Angeles,34.2771,-118.4992
91345,Mission Hills,California,CA,Los Angeles,34.2619,-118.4587
91346,Mission Hills,California,CA,Los Angeles,34.2572,-118.467
91350,Santa Clarita,California,CA,Los Angeles,34.4336,-118.5007
91351,Canyon Country,California,CA,Los Angeles,34.4262,-118.449
91352,Sun Valley,California,CA,Los Angeles,34.2209,-118.3699
91353,Sun Valley,California,CA,Los Angeles,34.2175,-118.3704
91354,Valencia,California,CA,Los Angeles,34.4466,-118.5374
91355,Valencia,California,CA,Los Angeles,34.3985,-118.5535
91356,Tarzana,California,CA,Los Angeles,34.1671,-118.5414
91357,Tarzana,California,CA,Los Angeles,34.1733,-118.554
91358,Thousand Oaks,California,CA,Ventura,34.1706,-118.8376
91359,Westlake Village,California,CA,Ventura,34.1458,-118.8056
91360,Thousand Oaks,California,CA,Ventura,34.2092,-118.8739
91361,Westlake Village,California,CA,Ventura,34.1472,-118.8383
91362,Thousand Oaks,California,CA,Ventura,34.1948,-118.8232
91364,Woodland Hills,California,CA,Los Angeles,34.1557,-118.6
91365,Woodland Hills,California,CA,Los Angeles,34.1683,-118.6059
91367,Woodland Hills,California,CA,Los Angeles,34.1767,-118.6159
91371,Woodland Hills,California,CA,Los Angeles,34.1683,-118.6059
91372,Calabasas,California,CA,Los Angeles,34.1578,-118.6384
91376,Agoura Hills,California,CA,Los Angeles,34.1364,-118.7745
91377,Oak Park,California,CA,Ventura,34.185,-118.7669
91380,Santa Clarita,California,CA,Los Angeles,34.3917,-118.5426
91381,Stevenson Ranch,California,CA,Los Angeles,34.3775,-118.6131
91382,Santa Clarita,California,CA,Los Angeles,34.3917,-118.5426
91383,Santa Clarita,California,CA,Los Angeles,34.3917,-118.5426
91384,Castaic,California,CA,Los Angeles,34.4827,-118.6254
91385,Valencia,California,CA,Los Angeles,34.4436,-118.6095
91386,Canyon Country,California,CA,Los Angeles,34.4233,-118.472
91387,Canyon Country,California,CA,Los Angeles,34.4132,-118.426
91390,Santa Clarita,California,CA,Los Angeles,34.4684,-118.5261
91392,Sylmar,California,CA,Los Angeles,34.3078,-118.4492
91393,North Hills,California,CA,Los Angeles,34.2364,-118.4847
91394,Granada Hills,California,CA,Los Angeles,34.2647,-118.5231
91395,Mission Hills,California,CA,Los Angeles,34.2572,-118.467
91396,Winnetka,California,CA,Los Angeles,34.2133,-118.572
91401,Van Nuys,California,CA,Los Angeles,34.1802,-118.4324
91402,Panorama City,California,CA,Los Angeles,34.2262,-118.447
91403,Sherman Oaks,California,CA,Los Angeles,34.1514,-118.4603
91404,Van Nuys,California,CA,Los Angeles,34.1867,-118.449
91405,Van Nuys,California,CA,Los Angeles,34.2001,-118.4456
91406,Van Nuys,California,CA,Los Angeles,34.2006,-118.4868
91407,Van Nuys,California,CA,Los Angeles,34.1867,-118.449
91408,Van Nuys,California,CA,Los Angeles,34.1867,-118.449
91409,Van Nuys,California,CA,Los Angeles,34.1867,-118.449
91410,Van Nuys,California,CA,Los Angeles,34.1867,-118.449
91411,Van Nuys,California,CA,Los Angeles,34.1781,-118.4574
91412,Panorama City,California,CA,Los Angeles,34.2247,-118.4498
91413,Sherman Oaks,California,CA,Los Angeles,34.1511,-118.4492
91416,Encino,California,CA,Los Angeles,34.1592,-118.5012
91423,Sherman Oaks,California,CA,Los Angeles,34.1526,-118.4322
91426,Encino,California,CA,Los Angeles,34.1592,-118.5012
91436,Encino,California,CA,Los Angeles,34.151,-118.4882
91470,Van Nuys,California,CA,Los Angeles,34.1867,-118.449
91482,Van Nuys,California,CA,Los Angeles,34.1867,-118.449
91495,Sherman Oaks,California,CA,Los Angeles,34.1511,-118.4492
91496,Van Nuys,California,CA,Los Angeles,34.1867,-118.449
91499,Van Nuys,California,CA,Los Angeles,34.1867,-118.449
91501,Burbank,California,CA,Los Angeles,34.1862,-118.3009
91502,Burbank,California,CA,Los Angeles,34.1745,-118.3059
91503,Burbank,California,CA,Los Angeles,34.1808,-118.309
91504,Burbank,California,CA,Los Angeles,34.2001,-118.3264
91505,Burbank,California,CA,Los Angeles,34.169,-118.3442
